ticker,column,n_missing,pct_missing
MSFT,Value_USD,0,0.0
MSFT,adj_close,0,0.0
MSFT,close,0,0.0
MSFT,high,0,0.0
MSFT,low,0,0.0
MSFT,open,0,0.0
MSFT,real_close,0,0.0
MSFT,volume,0,0.0
MU,CPI_USD,0,0.0
MU,Value_USD,0,0.0
MU,adj_close,0,0.0
MU,close,0,0.0
MU,high,0,0.0
MU,low,0,0.0
MU,open,0,0.0
MU,real_close,0,0.0
MU,volume,0,0.0
NFLX,CPI_USD,0,0.0
NFLX,Value_USD,0,0.0
NFLX,adj_close,0,0.0
NFLX,close,0,0.0
NFLX,high,0,0.0
NFLX,low,0,0.0
NFLX,open,0,0.0
NFLX,real_close,0,0.0
NFLX,volume,0,0.0
O,CPI_USD,0,0.0
O,Value_USD,0,0.0
O,adj_close,0,0.0
O,close,0,0.0
O,high,0,0.0
O,low,0,0.0
O,open,0,0.0
O,real_close,0,0.0
O,volume,0,0.0
ORCL,CPI_USD,0,0.0
ORCL,Value_USD,0,0.0
ORCL,adj_close,0,0.0
ORCL,close,0,0.0
ORCL,high,0,0.0
ORCL,low,0,0.0
ORCL,open,0,0.0
ORCL,real_close,0,0.0
ORCL,volume,0,0.0
PDD,CPI_USD,0,0.0
PDD,Value_USD,0,0.0
PDD,adj_close,0,0.0
PDD,close,0,0.0
PDD,high,0,0.0
PDD,low,0,0.0
PDD,open,0,0.0
PDD,real_close,0,0.0
PDD,volume,0,0.0
PEP,CPI_USD,0,0.0
PEP,Value_USD,0,0.0
PEP,adj_close,0,0.0
PEP,close,0,0.0
PEP,high,0,0.0
PEP,low,0,0.0
PEP,open,0,0.0
PEP,real_close,0,0.0
PEP,volume,0,0.0
PG,CPI_USD,0,0.0
PG,Value_USD,0,0.0
PG,adj_close,0,0.0
PG,close,0,0.0
PG,high,0,0.0
PG,low,0,0.0
PG,open,0,0.0
PG,real_close,0,0.0
PG,volume,0,0.0
PLD,CPI_USD,0,0.0
PLD,Value_USD,0,0.0
PLD,adj_close,0,0.0
PLD,close,0,0.0
PLD,high,0,0.0
PLD,low,0,0.0
PLD,open,0,0.0
PLD,real_close,0,0.0
PLD,volume,0,0.0
PLTR,CPI_USD,0,0.0
PLTR,Value_USD,0,0.0
PLTR,adj_close,0,0.0
PLTR,close,0,0.0
PLTR,high,0,0.0
PLTR,low,0,0.0
PLTR,open,0,0.0
PLTR,real_close,0,0.0
PLTR,volume,0,0.0
PM,CPI_USD,0,0.0
PM,Value_USD,0,0.0
PM,adj_close,0,0.0
PM,close,0,0.0
PM,high,0,0.0
PM,low,0,0.0
PM,open,0,0.0
PM,real_close,0,0.0
PM,volume,0,0.0
PSX,CPI_USD,0,0.0
PSX,Value_USD,0,0.0
PSX,adj_close,0,0.0
PSX,close,0,0.0
PSX,high,0,0.0
PSX,low,0,0.0
PSX,open,0,0.0
PSX,real_close,0,0.0
PSX,volume,0,0.0
RTX,CPI_USD,0,0.0
RTX,Value_USD,0,0.0
RTX,adj_close,0,0.0
RTX,close,0,0.0
RTX,high,0,0.0
RTX,low,0,0.0
RTX,open,0,0.0
RTX,real_close,0,0.0
RTX,volume,0,0.0
SHW,CPI_USD,0,0.0
SHW,Value_USD,0,0.0
SHW,adj_close,0,0.0
SHW,close,0,0.0
SHW,high,0,0.0
SHW,low,0,0.0
SHW,open,0,0.0
SHW,real_close,0,0.0
SHW,volume,0,0.0
SO,CPI_USD,0,0.0
SO,Value_USD,0,0.0
SO,adj_close,0,0.0
SO,close,0,0.0
SO,high,0,0.0
SO,low,0,0.0
SO,open,0,0.0
SO,real_close,0,0.0
SO,volume,0,0.0
T,CPI_USD,0,0.0
T,Value_USD,0,0.0
T,adj_close,0,0.0
T,close,0,0.0
T,high,0,0.0
T,low,0,0.0
T,open,0,0.0
T,real_close,0,0.0
T,volume,0,0.0
TJX,CPI_USD,0,0.0
TJX,Value_USD,0,0.0
TJX,adj_close,0,0.0
TJX,close,0,0.0
TJX,high,0,0.0
TJX,low,0,0.0
TJX,open,0,0.0
TJX,real_close,0,0.0
TJX,volume,0,0.0
TMUS,CPI_USD,0,0.0
TMUS,Value_USD,0,0.0
TMUS,adj_close,0,0.0
TMUS,close,0,0.0
TMUS,high,0,0.0
TMUS,low,0,0.0
TMUS,open,0,0.0
TMUS,real_close,0,0.0
TMUS,volume,0,0.0
TSLA,CPI_USD,0,0.0
