ticker,variable,mean,std,n_obs,n_outliers_3sigma,pct_outliers_3sigma
WMB,Return,0.00023994611646456713,0.028835251102474785,3273,57,1.7415215398716772
WMT,Return,0.0003641995120643433,0.013093185079826004,3273,47,1.435991445157348
XOM,Return,-0.00016791004023766233,0.01714077353876725,3273,46,1.405438435685915
AAPL,real_close,38.20667701721047,30.116498349699377,3274,107,3.2681734880879656
ABBV,real_close,91.21226951037629,21.708599299697635,2015,2,0.09925558312655086
ABT,real_close,59.22990296394189,25.870410120535848,3274,7,0.21380574221136223
AEP,real_close,73.43429139216676,21.092182635548763,3274,0,0.0
AMD,real_close,16.873734073941232,21.612450081340757,3274,112,3.4208918753817956
AMT,real_close,134.3024015949255,73.70819702496993,3274,0,0.0
AMZN,real_close,47.44077888052738,49.24318709768755,3274,54,1.6493585827733657
APD,real_close,164.9457028314346,66.54501647768979,3274,22,0.6719609040928528
AVGO,real_close,17.822096494818137,13.537968998748068,2872,0,0.0
AXP,real_close,94.21599687898622,32.60424388846429,3274,0,0.0
BA,real_close,197.13846843660127,125.7336063651439,3274,0,0.0
BAC,real_close,25.694368182168674,11.001115630805199,3274,40,1.2217470983506415
C,real_close,83.51115789943736,64.74002387325947,3274,140,4.276114844227244
CBRE,real_close,38.753521825859266,16.5306825896807,3274,0,0.0
CCI,real_close,103.61140289954743,45.53880972537846,3274,0,0.0
CMCSA,real_close,32.74861499746794,15.362653935915196,3274,0,0.0
COP,real_close,73.06406450899574,16.717061343727458,3274,0,0.0
CSCO,real_close,38.65079384899199,12.010812643079962,3274,0,0.0
CTVA,real_close,35.49108284052268,4.520141038361306,406,0,0.0
CVX,real_close,137.07573911892467,21.257719871738846,3274,3,0.0916310323762981
D,real_close,82.1078727225489,17.361444735787785,3274,0,0.0
DE,real_close,133.23963347014507,49.95501212262538,3274,55,1.6799022602321318
DHR,real_close,81.87987282059483,48.98010814049028,3274,66,2.0158827122785583
DLR,real_close,104.97027609961219,37.04556338137543,3274,0,0.0
DUK,real_close,93.96381777405071,14.989576350647754,3274,0,0.0
ECL,real_close,135.21718895778318,60.520097518999094,3274,0,0.0
EQIX,real_close,355.77621238981914,227.68202886662365,3274,0,0.0
ETN,real_close,80.85603525939115,23.99024053714996,3274,0,0.0
ETR,real_close,54.59903218740423,9.904076346061338,3274,68,2.0769700671960907
EXC,real_close,40.65141950460529,13.16920070641462,3274,143,4.367745876603543
FCX,real_close,36.346951034441695,21.352168958903047,3274,0,0.0
GE,real_close,131.65188607996018,50.70541817131,3274,0,0.0
GILD,real_close,74.90871261661914,37.85417243947621,3274,0,0.0
GOOG,real_close,42.249298670990434,24.405456851072337,3274,0,0.0
GS,real_close,234.11456701921585,50.37721477315977,3274,3,0.0916310323762981
HON,real_close,122.13577004951652,54.35896053757903,3274,0,0.0
JNJ,real_close,129.29211274909068,34.881340162625115,3274,0,0.0
JPM,real_close,87.48733188947098,34.092233803993864,3274,0,0.0
KO,real_close,52.25654769002988,8.801120385081465,3274,0,0.0
LLY,real_close,92.3712092311499,39.52419395554499,3274,1,0.030543677458766037
LMT,real_close,250.99200189303053,132.33247042575036,3274,0,0.0
LOW,real_close,78.46228481995972,44.574497261718676,3274,8,0.2443494196701283
MCD,real_close,152.30646736189024,54.85194487152705,3274,0,0.0
MO,real_close,56.27328148651477,22.044540143460022,3274,0,0.0
MPC,real_close,58.82054527315339,19.3543311632313,2397,0,0.0
MS,real_close,45.60217926295044,14.098256702661322,3274,0,0.0
MSFT,real_close,80.96897870478061,59.891378723217024,3274,66,2.0158827122785583
MU,real_close,28.94921928835765,20.77001038418973,3274,1,0.030543677458766037
NFLX,real_close,158.69427329271934,178.6037773092534,3274,0,0.0
O,real_close,59.26840989937425,16.995795089613523,3274,0,0.0
ORCL,real_close,49.755589780747556,12.85875268335948,3274,0,0.0
PDD,real_close,57.67362813561374,41.28961304887448,614,9,1.4657980456026058
PEP,real_close,121.14643433428384,27.831788787135245,3274,0,0.0
PG,real_close,108.17349478670684,21.026030042901585,3274,27,0.8246792913866828
PLD,real_close,63.4773229057496,24.84913953251825,3274,0,0.0
PLTR,real_close,21.762835474090497,9.390352136685031,65,0,0.0
PM,real_close,104.8702698422174,23.346082523926487,3223,0,0.0
PSX,real_close,103.15029498164104,23.388330749101016,2196,0,0.0
RTX,real_close,81.52059842384543,17.730410973939385,3274,0,0.0
SHW,real_close,106.64242671046944,70.78089456307156,3274,0,0.0
SO,real_close,60.175491218657754,7.68323967034484,3274,26,0.794135613927917
T,real_close,33.75717447494822,4.265619932963029,3274,4,0.12217470983506415
TJX,real_close,38.61301470176855,19.865209925454543,3274,0,0.0
TMUS,real_close,56.81019563632581,30.773270807140598,3274,38,1.1606597434331094
TSLA,real_close,25.836986785310103,38.09335966468024,2647,95,3.5889686437476387
UNH,real_close,158.20657453533997,112.77416771773635,3274,0,0.0
UNP,real_close,118.52205812582842,58.597010906952406,3274,0,0.0
V,real_close,95.73062112012767,70.14320677697964,3221,0,0.0
VLO,real_close,65.61414183177452,32.83861168001582,3274,0,0.0
VMC,real_close,107.72386571376164,42.421421658113125,3274,0,0.0
VST,real_close,25.9262799221567,4.350562032200271,1068,0,0.0
VTR,real_close,81.78894354736765,18.187574463800775,3274,4,0.12217470983506415
VZ,real_close,60.0738297479104,10.418207831961109,3274,0,0.0
WFC,real_close,54.33220925365528,14.84966200205611,3274,0,0.0
WMB,real_close,38.04651700810481,14.427030809558262,3274,1,0.030543677458766037
WMT,real_close,33.7786130572223,8.31811328079505,3274,46,1.4050091631032375
XOM,real_close,107.11613251681975,19.834586675324214,3274,70,2.138057422113622
AAPL,volume,373511009.7739768,342566043.3826992,3274,67,2.0464263897373245
ABBV,volume,8033612.952853598,5563808.325860763,2015,22,1.0918114143920596
ABT,volume,10588699.37110568,7242565.982052043,3274,52,1.588271227855834
AEP,volume,3111814.8747709226,1764142.065517492,3274,35,1.069028711056811
AMD,volume,37419118.692730606,32748644.113883164,3274,70,2.138057422113622
AMT,volume,2691502.3518631645,1548568.1780184063,3274,58,1.77153329260843
AMZN,volume,105727224.80146609,73081808.56933069,3274,53,1.6188149053146001
APD,volume,1444589.173488088,893384.6406508943,3274,49,1.4966401954795359
AVGO,volume,25759859.679665737,22544748.410093576,2872,35,1.2186629526462396
AXP,volume,7291845.448992059,6511074.145722031,3274,74,2.2602321319486864
BA,volume,6917545.90714722,8670065.762484277,3274,87,2.657299938912645
BAC,volume,128953270.49480757,111037328.37861086,3274,78,2.3824068417837507
C,volume,28765109.395235185,23994657.84982045,3274,67,2.0464263897373245
CBRE,volume,3034259.712889432,2152146.605342654,3274,65,1.9853390348197923
CCI,volume,2253767.0128283445,1619978.2567952175,3274,22,0.6719609040928528
CMCSA,volume,29834609.74343311,16959102.973769628,3274,55,1.6799022602321318
COP,volume,10167243.23762981,6087755.868739703,3274,54,1.6493585827733657
CSCO,volume,38166255.131337814,27358769.230982,3274,37,1.1301160659743432
CTVA,volume,5107569.458128079,2919238.543512518,406,7,1.7241379310344827
CVX,volume,8676000.641417226,4497277.862742179,3274,56,1.7104459376908978
D,volume,3021802.810018326,1523782.3758717843,3274,60,1.832620647525962
DE,volume,3569103.60415394,2224380.4385321806,3274,49,1.4966401954795359
DHR,volume,4786189.7605375685,4023117.988961953,3274,26,0.794135613927917
DLR,volume,1434466.6157605376,1208808.3408140438,3274,36,1.0995723885155773
DUK,volume,3298241.9178375076,1508256.7135847171,3274,55,1.6799022602321318
ECL,volume,1504184.1172877215,1528792.0754878928,3274,28,0.8552229688454489
EQIX,volume,784887.4465485645,797469.3112703343,3274,27,0.8246792913866828
ETN,volume,3208293.219303604,1682014.961570491,3274,42,1.2828344532681735
ETR,volume,2924828.6499694563,1302725.8893200618,3274,63,1.9242516799022602
EXC,volume,8274156.079718998,4142530.688445897,3274,62,1.8937080024434942
FCX,volume,24121568.356750153,14486302.758481706,3274,55,1.6799022602321318
GE,volume,13395645.039095907,10054065.60786637,3274,66,2.0158827122785583
GILD,volume,13351803.756872328,8913379.11049595,3274,46,1.4050091631032375
GOOG,volume,84102982.03390348,81773912.2348273,3274,60,1.832620647525962
GS,volume,6256249.480757483,7388463.595079941,3274,67,2.0464263897373245
HON,volume,4021315.1359193646,2162875.729570412,3274,55,1.6799022602321318
JNJ,volume,9657007.94135614,5176775.375929526,3274,55,1.6799022602321318
JPM,volume,27348261.270616982,22298538.53948543,3274,70,2.138057422113622
KO,volume,16374962.339645693,8035312.571016017,3274,53,1.6188149053146001
LLY,volume,5746396.854001222,4489962.833021213,3274,43,1.3133781307269394
LMT,volume,1914093.7080024434,1279622.630421925,3274,60,1.832620647525962
LOW,volume,9177912.950519243,6199237.169496226,3274,43,1.3133781307269394
MCD,volume,5857134.667073916,3383765.2680835184,3274,47,1.4355528405620037
MO,volume,10715872.663408674,6504875.836545978,3274,64,1.9547953573610264
MPC,volume,6426216.395494368,3026947.1497847475,2397,43,1.7939090529828954
MS,volume,16900420.952962738,14825416.527129928,3274,39,1.1912034208918754
MSFT,volume,44902616.55467318,27389643.933740802,3274,58,1.77153329260843
MU,volume,29916842.88332315,14937471.930886183,3274,55,1.6799022602321318
NFLX,volume,19007610.232131947,20170259.55619843,3274,67,2.0464263897373245
O,volume,1807640.1988393404,1423300.759803419,3274,32,0.9773976786805132
ORCL,volume,22323009.926695175,14903272.791605968,3274,56,1.7104459376908978
PDD,volume,7733713.3550488595,5714118.172481845,614,12,1.9543973941368076
PEP,volume,5713532.223579719,2848320.650945935,3274,58,1.77153329260843
PG,volume,10232505.742211362,6245085.171446637,3274,52,1.588271227855834
PLD,volume,2738273.824068418,1807638.1187796516,3274,18,0.5497861942577886
PLTR,volume,64230696.92307692,55489206.576893084,65,1,1.5384615384615385
PM,volume,6095973.658082532,3244664.855495233,3223,60,1.8616196090598822
PSX,volume,3285894.535519126,1581931.9450147192,2196,36,1.639344262295082
RTX,volume,7316784.597434331,3835378.3719025883,3274,66,2.0158827122785583
SHW,volume,2929803.665241295,2178112.136603606,3274,53,1.6188149053146001
SO,volume,4923131.398900428,2194145.119009428,3274,53,1.6188149053146001
T,volume,38381975.506414175,18204477.519873068,3274,64,1.9547953573610264
TJX,volume,11497887.99633476,8531623.778469216,3274,65,1.9853390348197923
TMUS,volume,3834824.8930971287,3727254.765341734,3274,38,1.1606597434331094
TSLA,volume,95315457.00793351,87842865.98298042,2647,46,1.7378163959199093
UNH,volume,6132693.8912645085,4441751.900486387,3274,61,1.863164324984728
UNP,volume,5721310.079413561,3987633.0723082772,3274,67,2.0464263897373245
V,volume,16740371.561626824,21867905.931498233,3221,41,1.272896615957777
VLO,volume,8073050.993585828,4955272.93716824,3274,39,1.1912034208918754
VMC,volume,1243398.136835675,788114.498641749,3274,49,1.4966401954795359
VST,volume,3643870.4119850188,2517361.733908867,1068,14,1.3108614232209739
VTR,volume,2119098.510690287,1457295.538469278,3274,47,1.4355528405620037
VZ,volume,16441740.384850336,13230775.81080377,3274,9,0.2748930971288943
WFC,volume,32936987.41600489,31781159.171728868,3274,71,2.1686010995723883
WMB,volume,8764542.548869884,5929203.83538445,3274,44,1.3439218081857056
WMT,volume,33057758.063530847,21679120.49701955,3274,54,1.6493585827733657
XOM,volume,18663290.928527795,11410908.861466162,3274,63,1.9242516799022602
