Date,real_close,close,adj_close,open,high,low,volume,Return,__variable,__zscore,__ticker
2008-07-18,35.92435823701971,24.76499938964844,17.6865234375,25.700000762939453,25.80500030517578,24.600000381469727,71193000.0,-0.10595672535929423,Return,-5.53784554523201,GILD
2008-07-18,35.92435823701971,24.76499938964844,17.6865234375,25.700000762939453,25.80500030517578,24.600000381469727,71193000.0,,volume,6.489255704945476,GILD
2008-09-17,34.222307851560906,23.46500015258789,16.758100509643555,24.020000457763672,24.7549991607666,23.46500015258789,24535800.0,-0.05819790125055935,Return,-3.0513210751185142,GILD
2008-09-29,30.948107581045043,21.21999931335449,15.15477180480957,23.88500022888184,24.48500061035156,20.0,33929400.0,-0.12746712254809234,Return,-6.657766941329043,GILD
2008-09-30,33.27432204699713,22.815000534057617,16.293880462646484,22.64999961853028,23.0,22.07999992370605,25970200.0,0.07516499869532689,Return,3.892110223896526,GILD
2008-10-06,30.851386139584218,20.940000534057617,14.954809188842772,22.44499969482422,23.31999969482422,20.40999984741211,36117200.0,-0.08459014058764514,Return,-4.425411626078149,GILD
2008-10-10,27.602708854530324,18.73500061035156,13.38005256652832,19.290000915527344,20.59499931335449,17.799999237060547,50204200.0,-0.06418580509641292,Return,-3.363076435834744,GILD
2008-10-10,27.602708854530324,18.73500061035156,13.38005256652832,19.290000915527344,20.59499931335449,17.799999237060547,50204200.0,,volume,4.134503400593848,GILD
2008-10-13,31.41861586365912,21.325000762939453,15.229763984680176,19.88500022888184,21.420000076293945,19.434999465942383,26735600.0,0.13824393211692,Return,7.176263768890623,GILD
2008-10-15,28.199402904553217,19.13999938964844,13.66929054260254,20.64999961853028,21.280000686645508,19.049999237060547,25519200.0,-0.07357214273910395,Return,-3.8517684978537083,GILD
2008-10-16,30.490420747849,20.69499969482422,14.779830932617188,19.59499931335449,20.82999992370605,18.5,34100200.0,0.08124348770965861,Return,4.208581827992983,GILD
2008-10-17,31.698545226079908,21.51499938964844,15.36545467376709,21.25,22.81999969482422,21.049999237060547,41084800.0,,volume,3.1113897321466655,GILD
2008-10-20,34.24739629494106,23.2450008392334,16.600976943969727,21.51499938964844,23.28499984741211,21.46999931335449,21568600.0,0.08040908662155544,Return,4.165139411598179,GILD
