Date,real_close,close,adj_close,open,high,low,volume,Return,__variable,__zscore,__ticker
2008-01-23,55.59899360666859,36.77999877929688,18.71953392028809,33.47999954223633,37.470001220703125,33.45000076293945,2578900.0,0.06856480929394193,Return,3.046378132700851,DLR
2008-01-31,54.05709581405844,35.7599983215332,18.20039749145508,35.43000030517578,36.720001220703125,34.27000045776367,7091100.0,,volume,4.679512204912595,DLR
2008-02-01,55.01595706990784,36.5,18.5770263671875,35.47999954223633,36.90999984741211,35.400001525878906,6412600.0,,volume,4.118215614633379,DLR
2008-03-11,51.86830733145865,34.709999084472656,17.665990829467773,33.0,34.72999954223633,32.27000045776367,1174900.0,0.08231990691520052,Return,3.6627204952187014,DLR
2008-06-27,59.218610308946815,40.61000061035156,21.01888465881348,39.59000015258789,40.900001525878906,38.27999877929688,5781000.0,,volume,3.5957175653771474,DLR
2008-07-08,61.17222525387522,42.16999816894531,21.826305389404297,38.7400016784668,42.290000915527344,38.27999877929688,1463400.0,0.08211436612791712,Return,3.6535105646230623,DLR
2008-07-09,56.18212850255429,38.72999954223633,20.045827865600582,42.0,42.130001068115234,38.310001373291016,1267900.0,-0.0815745500610967,Return,-3.681109377731943,DLR
2008-07-16,57.53119633809146,39.65999984741211,20.527175903320312,37.38999938964844,40.0,36.959999084472656,5114500.0,,volume,3.044348107129398,DLR
2008-07-29,61.97006523569491,42.720001220703125,22.110973358154297,40.060001373291016,42.869998931884766,39.59000015258789,1307600.0,0.07444675613999818,Return,3.309938095350612,DLR
2008-09-15,62.45042413086895,42.81999969482422,22.31828117370605,45.2400016784668,45.70000076293945,42.81999969482422,1300800.0,-0.07255790788344363,Return,-3.2770890868716376,DLR
2008-09-18,70.0051466521622,48.0,25.018159866333008,44.22999954223633,48.0,42.16999816894531,2395200.0,0.11550084503126579,Return,5.149501494679394,DLR
2008-09-22,64.33181378238802,44.11000061035156,22.99063873291016,49.09999847412109,49.43000030517578,43.84000015258789,1168700.0,-0.10491067972828949,Return,-4.7267613743322,DLR
2008-10-02,62.89616037921419,42.68999862670898,22.250518798828125,44.0099983215332,45.150001525878906,42.02999877929688,1355900.0,-0.07195655159328307,Return,-3.250143341607009,DLR
2008-10-10,65.56287718228957,44.5,23.193906784057617,35.2599983215332,44.5,34.0099983215332,2864900.0,0.20270270270270263,Return,9.056867363904024,DLR
2008-10-13,60.9219072235205,41.34999847412109,21.552101135253903,44.4900016784668,44.4900016784668,38.560001373291016,2073200.0,-0.0707865511433462,Return,-3.1977176256057978,DLR
2008-10-15,49.19425683371336,33.38999938964844,17.403255462646484,39.630001068115234,39.650001525878906,32.209999084472656,1642500.0,-0.1642052878100707,Return,-7.383651193362879,DLR
2008-10-23,45.01001905389754,30.549999237060547,15.923011779785156,33.16999816894531,34.08000183105469,28.420000076293945,2257000.0,-0.06746029297016254,Return,-3.0486736946026576,DLR
2008-10-28,43.0652330342926,29.229999542236328,15.235010147094728,27.86000061035156,29.309999465942383,25.5,4210600.0,0.06952065948899677,Return,3.0892081426109765,DLR
2008-10-30,48.48706242842806,32.90999984741211,17.153072357177734,30.520000457763672,32.9900016784668,30.0,1199500.0,0.09590406576471877,Return,4.271403384185632,DLR
2008-11-07,49.61411354829048,33.029998779296875,17.215612411499023,31.229999542236328,33.41999816894531,30.13999938964844,1311700.0,0.08011768677904918,Return,3.564042783226156,DLR
