Date,real_close,close,adj_close,open,high,low,volume,Return,__variable,__zscore,__ticker
2008-01-24,117.2899905793387,77.58999633789062,58.98235321044922,71.95999908447266,78.4800033569336,71.52999877929688,1466900.0,0.08852409745588385,Return,3.9526828466373964,EQIX
2008-02-14,116.28715539427613,77.1500015258789,58.64787673950195,80.0,81.48999786376953,76.97000122070312,4740300.0,,volume,4.959955822187858,EQIX
2008-03-24,96.59370333280788,64.63999938964844,49.13802337646485,58.0,66.76000213623047,58.0,1756400.0,0.11872621591002086,Return,5.313395503394587,EQIX
2008-04-18,117.62290052279684,79.19000244140625,60.19865036010742,75.8499984741211,79.4000015258789,75.58000183105469,1679500.0,0.07274455118913448,Return,3.241758268427537,EQIX
2008-04-24,128.5251815238387,86.52999877929688,65.77838134765625,89.58000183105469,91.08999633789062,86.30000305175781,3979800.0,,volume,4.00631410926908,EQIX
2008-06-27,132.2028896031496,90.66000366210938,68.91787719726562,88.77999877929688,90.94000244140624,85.80000305175781,4422700.0,,volume,4.561695982578385,EQIX
2008-07-28,123.86759553948738,85.38999938964844,64.9117431640625,94.87999725341795,94.87999725341795,84.6500015258789,2106800.0,-0.09004685931376422,Return,-4.092572699746903,EQIX
2008-09-19,123.39865627014989,84.61000061035156,64.31881713867188,79.91000366210938,86.22000122070312,78.38999938964844,2203900.0,0.10384864874118982,Return,4.643108285657692,EQIX
2008-09-29,95.83412755045732,65.70999908447266,49.9514045715332,72.30999755859375,72.30999755859375,63.45000076293945,1451900.0,-0.10574311264954195,Return,-4.799744635718648,EQIX
2008-10-06,84.70134650011101,57.4900016784668,43.70274353027344,58.02999877929688,59.290000915527344,54.16999816894531,2195000.0,-0.07244268952776967,Return,-3.2994423544076956,EQIX
2008-10-13,90.91876608751647,61.709999084472656,46.91070175170898,54.65999984741211,62.040000915527344,54.65999984741211,1006800.0,0.13063387713851604,Return,5.8498779150702775,EQIX
2008-10-15,79.08798353153948,53.68000030517578,40.80644607543945,57.369998931884766,58.119998931884766,53.0,588700.0,-0.08583107647740251,Return,-3.902636716538038,EQIX
2008-10-20,90.53570455892584,61.45000076293945,46.71305465698242,58.43000030517578,62.36000061035156,57.59999847412109,1129400.0,0.08358317324968212,Return,3.7300766703962807,EQIX
2008-10-22,79.3089842420643,53.83000183105469,40.92048263549805,58.400001525878906,58.5,52.869998931884766,1457400.0,-0.0837446496841755,Return,-3.80863578248924,EQIX
2008-10-28,83.84681641438199,56.90999984741211,43.261844635009766,53.459999084472656,57.20000076293945,51.400001525878906,1635200.0,0.10141284815481466,Return,4.533366821917315,EQIX
2008-11-12,78.46931489028383,52.2400016784668,39.71180725097656,57.63999938964844,58.02999877929688,51.43999862670898,1682600.0,-0.11382525865361959,Return,-5.163874005590767,EQIX
